ST_CASE,YEAR,STATE,COUNTY,FATALS,A_CRAINJ,A_REGION,A_RU,A_INTER,A_RELRD,A_INTSEC,A_ROADFC,A_JUNC,A_MANCOL,A_TOD,A_DOW,A_CT,A_WEATHER,A_LT,A_MC,A_SPCRA,A_PED,A_PED_F,A_PEDAL,A_PEDAL_F,A_ROLL,A_POLPUR,A_POSBAC,A_D15_19,A_D16_19,A_D15_20,A_D16_20,A_D65PLS,A_D21_24,A_D16_24,A_RD,A_HR,A_DIST,A_DROWSY,BIA,SPJ_INDIAN,INDIAN_RES
10001,2018,1,121,1,1,4,1,1,2,2,1,2,1,1,1,1,1,1,2,2,2,2,2,2,1,2,2,2,2,2,2,2,2,2,1,2,2,2,0,0,0
10002,2018,1,127,2,1,4,2,1,3,2,1,3,1,2,2,1,2,2,2,1,2,2,2,2,2,1,3,2,2,2,2,2,1,1,1,2,2,2,0,0,0
10003,2018,1,21,1,1,4,1,1,4,2,1,2,1,2,1,2,13,1,2,2,2,2,2,2,2,2,3,2,2,2,2,2,2,2,1,2,2,2,0,0,0
10004,2018,1,3,1,1,4,1,1,4,2,1,2,1,1,1,1,13,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,2,2,2,0,0,0
10005,2018,1,73,1,1,4,2,1,1,2,1,2,2,1,1,2,1,1,2,2,2,2,2,2,2,2,3,2,2,2,2,2,2,2,2,2,2,2,0,0,0
10006,2018,1,49,1,1,4,1,1,2,2,1,2,1,2,2,1,1,2,2,1,1,1,2,2,2,2,2,2,2,2,2,2,1,1,1,2,2,2,0,0,0
10007,2018,1,97,1,1,4,2,1,1,2,1,2,1,1,2,1,1,2,2,2,1,1,2,2,2,2,3,2,2,2,2,1,2,2,2,2,2,2,0,0,0
10008,2018,1,73,1,1,4,2,1,1,2,1,2,2,2,1,2,13,2,2,2,1,1,2,2,2,2,3,2,2,2,2,2,2,2,2,2,2,2,0,0,0
10009,2018,1,97,1,1,4,2,1,4,2,1,3,1,2,2,1,13,2,1,1,2,2,2,2,2,2,1,2,2,2,2,2,2,2,1,2,2,2,0,0,0
10010,2018,1,117,1,1,4,2,1,1,2,1,2,1,2,2,1,1,2,2,2,1,1,2,2,2,2,3,2,2,2,2,2,1,1,2,2,2,2,0,0,0
